tx_power_dbm,beacon_interval_s,samples,mean_active_vehicles,mean_prr,mean_pir_s,mean_cbr,mean_tx_count,mean_eligible_count,mean_success_count
10.0,0.1,47,92.38297872340425,0.6713210212765958,0.2583344893617021,0.36526440425531914,494.8723404255319,41370.02127659575,27475.255319148935
10.0,0.2,27,91.03703703703704,0.6639781851851851,0.274693962962963,0.3599741851851852,464.51851851851853,38431.62962962963,25038.74074074074
10.0,0.3,23,94.43478260869566,0.6714973043478261,0.25967508695652175,0.3684608695652174,499.60869565217394,42078.30434782609,28036.652173913044
10.0,0.5,25,99.32,0.65561752,0.2796254,0.36663692,499.64,44671.2,29072.64
13.0,0.1,47,95.72340425531915,0.6643569361702127,0.273536,0.36334129787234043,496.8936170212766,42960.255319148935,28179.40425531915
13.0,0.2,24,93.58333333333333,0.6596697916666666,0.2576561666666667,0.37028554166666666,519.2916666666666,44553.958333333336,28800.541666666668
13.0,0.3,18,94.16666666666667,0.6655444444444444,0.25939022222222224,0.3708637777777778,511.1111111111111,43813.944444444445,28829.166666666668
13.0,0.5,37,95.24324324324324,0.6639972702702703,0.28066891891891893,0.3605848108108108,472.0810810810811,40399.18918918919,26706.72972972973
16.0,0.1,37,91.02702702702703,0.6749637027027027,0.27905913513513514,0.3581759189189189,452.1621621621622,36951.35135135135,24686.837837837837
16.0,0.2,17,90.17647058823529,0.6749519411764706,0.2714867647058824,0.3609279411764706,467.0,38025.882352941175,25319.941176470587
16.0,0.3,19,95.89473684210526,0.6679756315789473,0.2771702105263158,0.3619613684210526,487.7894736842105,42322.10526315789,27917.57894736842
16.0,0.5,21,99.19047619047619,0.6631118571428571,0.2630536666666667,0.3702181904761905,541.6666666666666,48412.90476190476,31651.190476190477
19.0,0.1,38,94.36842105263158,0.6716442105263158,0.27571555263157893,0.3603537894736842,478.57894736842104,40688.60526315789,27034.473684210527
19.0,0.2,27,96.4074074074074,0.6610683703703705,0.27636874074074075,0.36245799999999995,499.7037037037037,43552.25925925926,28394.333333333332
19.0,0.3,22,90.9090909090909,0.669127090909091,0.26477477272727273,0.3645494545454545,475.6818181818182,39165.22727272727,25942.863636363636
19.0,0.5,19,89.6842105263158,0.6687666842105263,0.268144052631579,0.36243305263157893,460.7368421052632,37019.05263157895,24541.105263157893
23.0,0.1,50,93.26,0.6638977,0.26049752,0.36123378,495.68,41913.14,27477.5
23.0,0.2,24,96.54166666666667,0.6610210416666666,0.269103875,0.3598979583333333,508.7916666666667,44468.541666666664,28913.833333333332
23.0,0.3,24,92.625,0.674260875,0.26899233333333333,0.3598095833333333,481.25,40426.541666666664,26978.375
23.0,0.5,14,96.71428571428571,0.6000635714285715,0.26459535714285715,0.3375637142857143,467.42857142857144,41215.5,26190.571428571428
